Old_Index,Listings_Title,Neighbourhood,Fulldescription,Listing_ID,Pets,Smoking,Tenant_Parking,Year_Built,Landlord_On_Rentfaster_Since,Building_features,Property_features,Community_features,Utilities_info,Listing_Type,Sq_Feet,Furnishing,Baths,Beds,Rent_Monthly
4,VISTA PHASE 2,Skyview,"Join Us for Our Virtual Open House on Monday at 2:00 PM MST
Contact us for your invite and to learn about our limited time promotions!
Welcome to Phase Two Vista Apartments! Calgary's newest apartment complex located in Skyview Ranch, NE!
Vista ll is just a 5 minute drive from the YYC International Airport and are perfect for those having to commute to Airdrie, the NE, and outside of Calgary.
Each unit has in-suite laundry, dishwashers, microwaves, stainless steel appliances, air-conditioning, storage, window coverings, and laminate flooring. The buildings include elevators, underground parking, bicycle storage, maintenance stations, and are pet-friendly. Vista ll is managed with on-site professional staff whose core focus is making sure your home is safe and comfortable. Be the first to live in these brand new buildings and experience all the amenities first hand! EV chargers are available upon request.
Contact our leasing team at  403-615-7468  to schedule a viewing!
 ",430648,1,0,1,-1,-1,2.0,7.0,9.0,2.0,Apartment,1021,0, 2 ,2 ,1488
4,VISTA PHASE 2,Skyview,"Join Us for Our Virtual Open House on Monday at 2:00 PM MST
Contact us for your invite and to learn about our limited time promotions!
Welcome to Phase Two Vista Apartments! Calgary's newest apartment complex located in Skyview Ranch, NE!
Vista ll is just a 5 minute drive from the YYC International Airport and are perfect for those having to commute to Airdrie, the NE, and outside of Calgary.
Each unit has in-suite laundry, dishwashers, microwaves, stainless steel appliances, air-conditioning, storage, window coverings, and laminate flooring. The buildings include elevators, underground parking, bicycle storage, maintenance stations, and are pet-friendly. Vista ll is managed with on-site professional staff whose core focus is making sure your home is safe and comfortable. Be the first to live in these brand new buildings and experience all the amenities first hand! EV chargers are available upon request.
Contact our leasing team at  403-615-7468  to schedule a viewing!
 ",430648,1,0,1,-1,-1,2.0,7.0,9.0,2.0,Apartment,1307,0, 2 ,3 ,1707
5,VISTA PHASE 2,Skyview,"Join Us for Our Virtual Open House on Monday at 2:00 PM MST
Contact us for your invite and to learn about our limited time promotions!
Welcome to Phase Two Vista Apartments! Calgary's newest apartment complex located in Skyview Ranch, NE!
Vista ll is just a 5 minute drive from the YYC International Airport and are perfect for those having to commute to Airdrie, the NE, and outside of Calgary.
Each unit has in-suite laundry, dishwashers, microwaves, stainless steel appliances, air-conditioning, storage, window coverings, and laminate flooring. The buildings include elevators, underground parking, bicycle storage, maintenance stations, and are pet-friendly. Vista ll is managed with on-site professional staff whose core focus is making sure your home is safe and comfortable. Be the first to live in these brand new buildings and experience all the amenities first hand! EV chargers are available upon request.
Contact our leasing team at  403-615-7468  to schedule a viewing!
 ",430648,1,0,1,-1,-1,2.0,7.0,9.0,2.0,Apartment,678,0, 1 ,1 ,1199
7,"6 BED,LIVING ROOM,FAMILY ROOM,3.5 BATH",Arbour Lake,"6 Bedrooms, 3.5 Bathrooms, 1 Living Room, 1 Family Room, Attached Double Garage, Laundry on main floor, Huge Backyard
Bus Stop access is 10 steps. Arbour Lake community, https://www.arbourlake.com
3000sqft indoor, 9800sqft total land
Main Floor: Living Room, Family Room, Kitchen, Deck, Dinning room, Breakfast room, Half Bathroom, Laundry.
Upper Floor: 4 Bedrooms, 2 Full Bathroom, Master bedroom Walk in Closet.
Basement(Entry from inside house & from backyard): 2 Large Bedrooms with big windows, 1 Living Room+Dinning Room, Full Bathroom, Kitchen.
Basement is 100% above ground.
Rental includes lake access and amenities including paddle boats, row boats, fishing, sand beach, ice fishing and skating in the winter.
Minutes to the C-Train station, Schools & Child Day-Care. Robert Thrisk High School, Arbour Lake School (K-9) and St. Ambrose School (K-9)
Fresh paint before moving in. Asking $2,500 + utilities. Available immediately. One year lease required.


Seller Information
Mithun Mehta",444203,1,0,1,1992,-1,0.0,13.0,18.0,-1.0,House,3000,0, 3.5 ,6 ,2500
8,2 BED/2 BATH CONTEMPORARY CONDO IN PARKHILL,Parkhill-Stanley Park,"Contemporary 2 bedroom / 2 bathroom corner unit facing SW
Located on a floor with only 2 units in a small 10 unit building - very quiet and private.

Features include:
-Large master bedroom with walk through closet to full bathroom ensuite.
-Large open concept floor plan with almost 1,000 sq. ft. Lots of windows make this unit very bright.
-High end finishing include Quartz countertops, stainless steel appliances, and hardwood flooring.
-In-suite full size Samsung high efficiency laundry.
-Underground secure heated parking.
-Balcony with natural gas hookup.
-Close to downtown, shopping, and transit (bus stop located outside of building and C-train only a block away).
-Includes one underground heated secure parking stall with a second parking stall available if needed.
-Storage room

This unit can be rented fully furnished (negotiable).

Rent includes all utilities except electricity and internet/TV.",439237,1,0,1,2007,2014,1.0,11.0,19.0,2.0,Condo,1000,0, 2 ,2 ,1750
9,MOVE IN NOW AND DON'T PAY UNTIL MAY 1 + GET APR 2022 FREE ON A 14 MONTH LEASE,Capitol Hill,"Take a virtual tour of ONE6 Residential and rent an apartment with us today. Take a virtual tour here Photos and Video of ONE6 Residential in Calgary, AB (one6yyc.ca) https://youriguide.com/1528_16_ave_nw_calgary_ab
Move in now and don't pay until May 1 + get Apr 2022 free on a 14 month lease. Imagine yourself on a sunny rooftop lounge, enjoying the company of your friends and overlooking the surrounding city. ONE6 makes this dream a reality and features BBQ stations, lounge furniture and fire pits! This conveniently located apartment community will provide you with everything you need to live comfortably. Located directly across from North Hill Centre, Southern Alberta Technology Institute (SAIT) and the Alberta University of the Arts, ONE6 is the ideal location for students or professionals commuting downtown with the C-Train station only a 5-minute walk away.
Within walking distance of two post-secondary schools, grocery stores and the C-Train, you can eliminate the need for a vehicle. Wander over to Kensington, one of Calgary’s best neighborhoods and explore various coffee shops, restaurants and cocktail lounges. Bring your four-legged companion and enjoy the complimentary dog and bike wash station.
All our suites are cleaned and sanitized adhering to strict covid-19 cleaning protocols prior to move-in.
* Promotions are based on qualified applications on a 14 month lease and are subject to change without notice.
Incentives are subject to change without notice.
*Suite availability, rental rates and promotions are subject to change. Photos shown may not be the exact suite. Floor plans and square footage are approximate. E&OE.
Like us on facebook to receive up to date information about the Calgary Rental and Real Estate Markets. https://goo.gl/li2hcz
Like us on facebook to receive up to date information about the Calgary Rental and Real Estate Markets. https://goo.gl/li2hcz
Like us on facebook to receive up to date information about the Calgary Rental and Real Estate Markets. https://goo.gl/li2hcz",307606,1,0,1,2017,-1,2.0,12.0,18.0,2.0,Apartment,426,0, 1 ,1 ,1010
9,MOVE IN NOW AND DON'T PAY UNTIL MAY 1 + GET APR 2022 FREE ON A 14 MONTH LEASE,Capitol Hill,"Take a virtual tour of ONE6 Residential and rent an apartment with us today. Take a virtual tour here Photos and Video of ONE6 Residential in Calgary, AB (one6yyc.ca) https://youriguide.com/1528_16_ave_nw_calgary_ab
Move in now and don't pay until May 1 + get Apr 2022 free on a 14 month lease. Imagine yourself on a sunny rooftop lounge, enjoying the company of your friends and overlooking the surrounding city. ONE6 makes this dream a reality and features BBQ stations, lounge furniture and fire pits! This conveniently located apartment community will provide you with everything you need to live comfortably. Located directly across from North Hill Centre, Southern Alberta Technology Institute (SAIT) and the Alberta University of the Arts, ONE6 is the ideal location for students or professionals commuting downtown with the C-Train station only a 5-minute walk away.
Within walking distance of two post-secondary schools, grocery stores and the C-Train, you can eliminate the need for a vehicle. Wander over to Kensington, one of Calgary’s best neighborhoods and explore various coffee shops, restaurants and cocktail lounges. Bring your four-legged companion and enjoy the complimentary dog and bike wash station.
All our suites are cleaned and sanitized adhering to strict covid-19 cleaning protocols prior to move-in.
* Promotions are based on qualified applications on a 14 month lease and are subject to change without notice.
Incentives are subject to change without notice.
*Suite availability, rental rates and promotions are subject to change. Photos shown may not be the exact suite. Floor plans and square footage are approximate. E&OE.
Like us on facebook to receive up to date information about the Calgary Rental and Real Estate Markets. https://goo.gl/li2hcz
Like us on facebook to receive up to date information about the Calgary Rental and Real Estate Markets. https://goo.gl/li2hcz
Like us on facebook to receive up to date information about the Calgary Rental and Real Estate Markets. https://goo.gl/li2hcz",307606,1,0,1,2017,-1,2.0,12.0,18.0,2.0,Apartment,421,0, 1 ,1 ,1158
9,MOVE IN NOW AND DON'T PAY UNTIL MAY 1 + GET APR 2022 FREE ON A 14 MONTH LEASE,Capitol Hill,"Take a virtual tour of ONE6 Residential and rent an apartment with us today. Take a virtual tour here Photos and Video of ONE6 Residential in Calgary, AB (one6yyc.ca) https://youriguide.com/1528_16_ave_nw_calgary_ab
Move in now and don't pay until May 1 + get Apr 2022 free on a 14 month lease. Imagine yourself on a sunny rooftop lounge, enjoying the company of your friends and overlooking the surrounding city. ONE6 makes this dream a reality and features BBQ stations, lounge furniture and fire pits! This conveniently located apartment community will provide you with everything you need to live comfortably. Located directly across from North Hill Centre, Southern Alberta Technology Institute (SAIT) and the Alberta University of the Arts, ONE6 is the ideal location for students or professionals commuting downtown with the C-Train station only a 5-minute walk away.
Within walking distance of two post-secondary schools, grocery stores and the C-Train, you can eliminate the need for a vehicle. Wander over to Kensington, one of Calgary’s best neighborhoods and explore various coffee shops, restaurants and cocktail lounges. Bring your four-legged companion and enjoy the complimentary dog and bike wash station.
All our suites are cleaned and sanitized adhering to strict covid-19 cleaning protocols prior to move-in.
* Promotions are based on qualified applications on a 14 month lease and are subject to change without notice.
Incentives are subject to change without notice.
*Suite availability, rental rates and promotions are subject to change. Photos shown may not be the exact suite. Floor plans and square footage are approximate. E&OE.
Like us on facebook to receive up to date information about the Calgary Rental and Real Estate Markets. https://goo.gl/li2hcz
Like us on facebook to receive up to date information about the Calgary Rental and Real Estate Markets. https://goo.gl/li2hcz
Like us on facebook to receive up to date information about the Calgary Rental and Real Estate Markets. https://goo.gl/li2hcz",307606,1,0,1,2017,-1,2.0,12.0,18.0,2.0,Apartment,426,0, 1 ,1 ,1172
9,MOVE IN NOW AND DON'T PAY UNTIL MAY 1 + GET APR 2022 FREE ON A 14 MONTH LEASE,Capitol Hill,"Take a virtual tour of ONE6 Residential and rent an apartment with us today. Take a virtual tour here Photos and Video of ONE6 Residential in Calgary, AB (one6yyc.ca) https://youriguide.com/1528_16_ave_nw_calgary_ab
Move in now and don't pay until May 1 + get Apr 2022 free on a 14 month lease. Imagine yourself on a sunny rooftop lounge, enjoying the company of your friends and overlooking the surrounding city. ONE6 makes this dream a reality and features BBQ stations, lounge furniture and fire pits! This conveniently located apartment community will provide you with everything you need to live comfortably. Located directly across from North Hill Centre, Southern Alberta Technology Institute (SAIT) and the Alberta University of the Arts, ONE6 is the ideal location for students or professionals commuting downtown with the C-Train station only a 5-minute walk away.
Within walking distance of two post-secondary schools, grocery stores and the C-Train, you can eliminate the need for a vehicle. Wander over to Kensington, one of Calgary’s best neighborhoods and explore various coffee shops, restaurants and cocktail lounges. Bring your four-legged companion and enjoy the complimentary dog and bike wash station.
All our suites are cleaned and sanitized adhering to strict covid-19 cleaning protocols prior to move-in.
* Promotions are based on qualified applications on a 14 month lease and are subject to change without notice.
Incentives are subject to change without notice.
*Suite availability, rental rates and promotions are subject to change. Photos shown may not be the exact suite. Floor plans and square footage are approximate. E&OE.
Like us on facebook to receive up to date information about the Calgary Rental and Real Estate Markets. https://goo.gl/li2hcz
Like us on facebook to receive up to date information about the Calgary Rental and Real Estate Markets. https://goo.gl/li2hcz
Like us on facebook to receive up to date information about the Calgary Rental and Real Estate Markets. https://goo.gl/li2hcz",307606,1,0,1,2017,-1,2.0,12.0,18.0,2.0,Apartment,426,0, 1 ,1 ,1172
9,MOVE IN NOW AND DON'T PAY UNTIL MAY 1 + GET APR 2022 FREE ON A 14 MONTH LEASE,Capitol Hill,"Take a virtual tour of ONE6 Residential and rent an apartment with us today. Take a virtual tour here Photos and Video of ONE6 Residential in Calgary, AB (one6yyc.ca) https://youriguide.com/1528_16_ave_nw_calgary_ab
Move in now and don't pay until May 1 + get Apr 2022 free on a 14 month lease. Imagine yourself on a sunny rooftop lounge, enjoying the company of your friends and overlooking the surrounding city. ONE6 makes this dream a reality and features BBQ stations, lounge furniture and fire pits! This conveniently located apartment community will provide you with everything you need to live comfortably. Located directly across from North Hill Centre, Southern Alberta Technology Institute (SAIT) and the Alberta University of the Arts, ONE6 is the ideal location for students or professionals commuting downtown with the C-Train station only a 5-minute walk away.
Within walking distance of two post-secondary schools, grocery stores and the C-Train, you can eliminate the need for a vehicle. Wander over to Kensington, one of Calgary’s best neighborhoods and explore various coffee shops, restaurants and cocktail lounges. Bring your four-legged companion and enjoy the complimentary dog and bike wash station.
All our suites are cleaned and sanitized adhering to strict covid-19 cleaning protocols prior to move-in.
* Promotions are based on qualified applications on a 14 month lease and are subject to change without notice.
Incentives are subject to change without notice.
*Suite availability, rental rates and promotions are subject to change. Photos shown may not be the exact suite. Floor plans and square footage are approximate. E&OE.
Like us on facebook to receive up to date information about the Calgary Rental and Real Estate Markets. https://goo.gl/li2hcz
Like us on facebook to receive up to date information about the Calgary Rental and Real Estate Markets. https://goo.gl/li2hcz
Like us on facebook to receive up to date information about the Calgary Rental and Real Estate Markets. https://goo.gl/li2hcz",307606,1,0,1,2017,-1,2.0,12.0,18.0,2.0,Apartment,593,0, 1 ,2 ,1275
9,MOVE IN NOW AND DON'T PAY UNTIL MAY 1 + GET APR 2022 FREE ON A 14 MONTH LEASE,Capitol Hill,"Take a virtual tour of ONE6 Residential and rent an apartment with us today. Take a virtual tour here Photos and Video of ONE6 Residential in Calgary, AB (one6yyc.ca) https://youriguide.com/1528_16_ave_nw_calgary_ab
Move in now and don't pay until May 1 + get Apr 2022 free on a 14 month lease. Imagine yourself on a sunny rooftop lounge, enjoying the company of your friends and overlooking the surrounding city. ONE6 makes this dream a reality and features BBQ stations, lounge furniture and fire pits! This conveniently located apartment community will provide you with everything you need to live comfortably. Located directly across from North Hill Centre, Southern Alberta Technology Institute (SAIT) and the Alberta University of the Arts, ONE6 is the ideal location for students or professionals commuting downtown with the C-Train station only a 5-minute walk away.
Within walking distance of two post-secondary schools, grocery stores and the C-Train, you can eliminate the need for a vehicle. Wander over to Kensington, one of Calgary’s best neighborhoods and explore various coffee shops, restaurants and cocktail lounges. Bring your four-legged companion and enjoy the complimentary dog and bike wash station.
All our suites are cleaned and sanitized adhering to strict covid-19 cleaning protocols prior to move-in.
* Promotions are based on qualified applications on a 14 month lease and are subject to change without notice.
Incentives are subject to change without notice.
*Suite availability, rental rates and promotions are subject to change. Photos shown may not be the exact suite. Floor plans and square footage are approximate. E&OE.
Like us on facebook to receive up to date information about the Calgary Rental and Real Estate Markets. https://goo.gl/li2hcz
Like us on facebook to receive up to date information about the Calgary Rental and Real Estate Markets. https://goo.gl/li2hcz
Like us on facebook to receive up to date information about the Calgary Rental and Real Estate Markets. https://goo.gl/li2hcz",307606,1,0,1,2017,-1,2.0,12.0,18.0,2.0,Apartment,593,0, 1 ,2 ,1275
9,MOVE IN NOW AND DON'T PAY UNTIL MAY 1 + GET APR 2022 FREE ON A 14 MONTH LEASE,Capitol Hill,"Take a virtual tour of ONE6 Residential and rent an apartment with us today. Take a virtual tour here Photos and Video of ONE6 Residential in Calgary, AB (one6yyc.ca) https://youriguide.com/1528_16_ave_nw_calgary_ab
Move in now and don't pay until May 1 + get Apr 2022 free on a 14 month lease. Imagine yourself on a sunny rooftop lounge, enjoying the company of your friends and overlooking the surrounding city. ONE6 makes this dream a reality and features BBQ stations, lounge furniture and fire pits! This conveniently located apartment community will provide you with everything you need to live comfortably. Located directly across from North Hill Centre, Southern Alberta Technology Institute (SAIT) and the Alberta University of the Arts, ONE6 is the ideal location for students or professionals commuting downtown with the C-Train station only a 5-minute walk away.
Within walking distance of two post-secondary schools, grocery stores and the C-Train, you can eliminate the need for a vehicle. Wander over to Kensington, one of Calgary’s best neighborhoods and explore various coffee shops, restaurants and cocktail lounges. Bring your four-legged companion and enjoy the complimentary dog and bike wash station.
All our suites are cleaned and sanitized adhering to strict covid-19 cleaning protocols prior to move-in.
* Promotions are based on qualified applications on a 14 month lease and are subject to change without notice.
Incentives are subject to change without notice.
*Suite availability, rental rates and promotions are subject to change. Photos shown may not be the exact suite. Floor plans and square footage are approximate. E&OE.
Like us on facebook to receive up to date information about the Calgary Rental and Real Estate Markets. https://goo.gl/li2hcz
Like us on facebook to receive up to date information about the Calgary Rental and Real Estate Markets. https://goo.gl/li2hcz
Like us on facebook to receive up to date information about the Calgary Rental and Real Estate Markets. https://goo.gl/li2hcz",307606,1,0,1,2017,-1,2.0,12.0,18.0,2.0,Apartment,593,0, 1 ,2 ,1275
9,MOVE IN NOW AND DON'T PAY UNTIL MAY 1 + GET APR 2022 FREE ON A 14 MONTH LEASE,Capitol Hill,"Take a virtual tour of ONE6 Residential and rent an apartment with us today. Take a virtual tour here Photos and Video of ONE6 Residential in Calgary, AB (one6yyc.ca) https://youriguide.com/1528_16_ave_nw_calgary_ab
Move in now and don't pay until May 1 + get Apr 2022 free on a 14 month lease. Imagine yourself on a sunny rooftop lounge, enjoying the company of your friends and overlooking the surrounding city. ONE6 makes this dream a reality and features BBQ stations, lounge furniture and fire pits! This conveniently located apartment community will provide you with everything you need to live comfortably. Located directly across from North Hill Centre, Southern Alberta Technology Institute (SAIT) and the Alberta University of the Arts, ONE6 is the ideal location for students or professionals commuting downtown with the C-Train station only a 5-minute walk away.
Within walking distance of two post-secondary schools, grocery stores and the C-Train, you can eliminate the need for a vehicle. Wander over to Kensington, one of Calgary’s best neighborhoods and explore various coffee shops, restaurants and cocktail lounges. Bring your four-legged companion and enjoy the complimentary dog and bike wash station.
All our suites are cleaned and sanitized adhering to strict covid-19 cleaning protocols prior to move-in.
* Promotions are based on qualified applications on a 14 month lease and are subject to change without notice.
Incentives are subject to change without notice.
*Suite availability, rental rates and promotions are subject to change. Photos shown may not be the exact suite. Floor plans and square footage are approximate. E&OE.
Like us on facebook to receive up to date information about the Calgary Rental and Real Estate Markets. https://goo.gl/li2hcz
Like us on facebook to receive up to date information about the Calgary Rental and Real Estate Markets. https://goo.gl/li2hcz
Like us on facebook to receive up to date information about the Calgary Rental and Real Estate Markets. https://goo.gl/li2hcz",307606,1,0,1,2017,-1,2.0,12.0,18.0,2.0,Apartment,593,0, 1 ,2 ,1305
